Date & Time,Temperature,Date
01-28-1986 12:00 AM,32,01-28-1986
01-28-1986 01:00 AM,31,01-28-1986
01-28-1986 02:00 AM,30,01-28-1986
01-28-1986 03:00 AM,29,01-28-1986
01-28-1986 04:00 AM,28,01-28-1986
01-28-1986 05:00 AM,27,01-28-1986
01-28-1986 06:00 AM,27,01-28-1986
01-28-1986 07:00 AM,26,01-28-1986
01-28-1986 08:00 AM,27,01-28-1986
01-28-1986 09:00 AM,30,01-28-1986
01-28-1986 10:00 AM,32,01-28-1986
01-29-1986 02:00 AM,34,01-29-1986
01-29-1986 05:00 AM,34,01-29-1986
01-29-1986 06:00 AM,32,01-29-1986
01-24-1987 05:00 AM,34,01-24-1987
01-24-1987 06:00 AM,34,01-24-1987
01-24-1987 07:00 AM,32,01-24-1987
01-28-1987 05:00 AM,34,01-28-1987
12-19-1988 05:00 AM,34,12-19-1988
12-19-1988 06:00 AM,34,12-19-1988
12-19-1988 07:00 AM,34,12-19-1988
02-24-1989 12:00 AM,34,02-24-1989
02-24-1989 01:00 AM,34,02-24-1989
02-24-1989 02:00 AM,33,02-24-1989
02-24-1989 03:00 AM,33,02-24-1989
02-24-1989 04:00 AM,32,02-24-1989
02-24-1989 05:00 AM,32,02-24-1989
02-24-1989 06:00 AM,32,02-24-1989
02-24-1989 07:00 AM,31,02-24-1989
02-24-1989 08:00 AM,32,02-24-1989
02-24-1989 09:00 AM,34,02-24-1989
02-25-1989 03:00 AM,34,02-25-1989
02-25-1989 04:00 AM,33,02-25-1989
02-25-1989 05:00 AM,33,02-25-1989
02-25-1989 06:00 AM,33,02-25-1989
02-25-1989 07:00 AM,31,02-25-1989
02-26-1989 06:00 AM,33,02-26-1989
12-23-1989 01:00 PM,34,12-23-1989
12-23-1989 02:00 PM,33,12-23-1989
12-23-1989 03:00 PM,31,12-23-1989
12-23-1989 04:00 PM,30,12-23-1989
12-23-1989 05:00 PM,29,12-23-1989
12-23-1989 06:00 PM,28,12-23-1989
12-23-1989 07:00 PM,28,12-23-1989
12-23-1989 08:00 PM,26,12-23-1989
12-23-1989 09:00 PM,26,12-23-1989
12-23-1989 10:00 PM,26,12-23-1989
12-23-1989 11:00 PM,25,12-23-1989
12-24-1989 12:00 AM,24,12-24-1989
12-24-1989 01:00 AM,24,12-24-1989
12-24-1989 02:00 AM,24,12-24-1989
12-24-1989 03:00 AM,25,12-24-1989
12-24-1989 04:00 AM,23,12-24-1989
12-24-1989 05:00 AM,23,12-24-1989
12-24-1989 06:00 AM,23,12-24-1989
12-24-1989 07:00 AM,22,12-24-1989
12-24-1989 08:00 AM,22,12-24-1989
12-24-1989 09:00 AM,24,12-24-1989
12-24-1989 10:00 AM,26,12-24-1989
12-24-1989 11:00 AM,29,12-24-1989
12-24-1989 12:00 PM,31,12-24-1989
12-24-1989 01:00 PM,34,12-24-1989
12-24-1989 06:00 PM,33,12-24-1989
12-24-1989 07:00 PM,33,12-24-1989
12-24-1989 08:00 PM,31,12-24-1989
12-24-1989 09:00 PM,30,12-24-1989
12-24-1989 10:00 PM,29,12-24-1989
12-24-1989 11:00 PM,29,12-24-1989
12-25-1989 12:00 AM,30,12-25-1989
12-25-1989 01:00 AM,29,12-25-1989
12-25-1989 02:00 AM,29,12-25-1989
12-25-1989 03:00 AM,29,12-25-1989
12-25-1989 04:00 AM,29,12-25-1989
12-25-1989 05:00 AM,29,12-25-1989
12-25-1989 06:00 AM,30,12-25-1989
12-25-1989 07:00 AM,30,12-25-1989
12-25-1989 08:00 AM,31,12-25-1989
02-16-1991 05:00 AM,34,02-16-1991
02-16-1991 06:00 AM,33,02-16-1991
02-16-1991 07:00 AM,32,02-16-1991
02-16-1991 08:00 AM,32,02-16-1991
02-16-1991 09:00 AM,34,02-16-1991
02-17-1991 03:00 AM,34,02-17-1991
02-17-1991 04:00 AM,34,02-17-1991
02-17-1991 05:00 AM,34,02-17-1991
01-17-1992 04:00 AM,34,01-17-1992
01-17-1992 05:00 AM,34,01-17-1992
01-17-1992 06:00 AM,34,01-17-1992
01-17-1992 07:00 AM,34,01-17-1992
03-14-1993 06:00 AM,34,03-14-1993
03-14-1993 07:00 AM,33,03-14-1993
12-27-1993 06:00 AM,34,12-27-1993
